LOCATION,STATAREA
CACHREN BAY,486033
CACHREN/AY,486033
CALAROS PASSAGE,486033
CALAROSS PASSAGE,486033
CALLOROSE PASSAGE,486033
CALROOS,486033
CALROS BAY,486033
CALROS PASSAGE,486033
CALROSE BAY,486033
CALROSE PASS,486033
CALROSE STRAIT,486033
CALROSS,486033
CALROSS BAY ENTRANCE,486033
CALROSS PASS,486033
CALROSS PASSAGE,486033
CALRUS PASSAGE,486033
CAMPBELL BAY,476035
CANAL PASSAGE,486033
CANNARY CREEK HATCHERY,476101
CANNERY CREEK,476036
CANNERY CREEK HATCHERY,476101
CANNERY W. GABLE,486003
CARGO DOCK PORT VALDEZ,466100
CARLROSS,486033
CARLSROSS,486033
CARROSS,486033
CARROSS SOUTH,486033
CASCADE BAY,476036
CASCADE BAY EAGLEK BAY,476033
CASCADE BAY PWS,476036
"CASCADE BAY, AK",476033
"CASCADE BAY, EGLIK BAY",476033
CASCADE BAY. EGLIK BAY,476033
CATHEAD BAY,476005
CAULKRON BAY,486033
CCULROSS PASSAGE,486033
CEDAR,476036
CEDAR BAY,476036
CEDAR BAY AREA,476036
CEDAR BAY ENTRANCE,499999
CEDAR BAY INSIDE WELLS BAY,476036
CEDAR BAY ORCA INLET,466031
CEDAR BAY UNAKWIK,476036
CEDAR BAY WELLS BAY,476036
"CEDAR BAY, UNAKWIK",476036
CEDER BAY,476036
CENTER,499999
CENTER ROCK,499999
CENTRAL GALENA BAY,466033
CENTRAL JACK BAY,466100
CHALMERS BAY,476009
CHAMBERLAIN BAY,476035
CHANNEL ISLAND,456031
CHANNEL ISLANDS,456031
CHANNEL ROCK S CULROSS PASSAGE,486031
CHENEGA,486005
CHENEGA BAY,486005
CHENEGA EAST,486005
CHENEGA IS. EAST,486005
CHENEGA ISLAND,486005
"CHENEGA ISLAND, GRANITE BAY",486005
CHENEGA WALL,486005
CHOCHRAN BAY,486033
CHOCHRAN BAY 3 FINGERS,486033
CHOCHRANE,486033
CHOCHRANE BAY,486033
CHOCHRINE,486033
CHOCRAN BAY,486033
CHOCRANE BAY,486033
CHUGACH NATIONAL FOREST PASSAGE- WHITTER,486033
CITY DOCK PORT VALDEZ,466100
CLIFF MINE,466100
"CLIFF MINE, PORT VALDEZ",466100
CLOUMBIA BAY,476035
COAL ROSE PASS,486033
COCHANE BAY,486033
COCHARANE,486033
COCHARANE BAY,486033
COCHAREN,486033
COCHARNE BAY,486033
COCHARON,486033
COCHCRANE BAY,486033
COCHDRANE BAY,486033
COCHERAN,486033
COCHERAN BAY,486033
COCHINEAL BAY,486033
COCHORAN BAY,486033
COCHORANE,486033
COCHRAIN BAY,486033
COCHRAIN POINT,486033
COCHRAINE BAY,486033
COCHRAINE POINT,486033
COCHRAN,486033
COCHRAN  BAY,486033
COCHRAN AY,486033
COCHRAN BAT,486033
COCHRAN BAY,486033
COCHRAN BAY (HEAD),486033
COCHRAN BAY - SOUTH END,486033
COCHRAN BAY - WHITTIER,486033
COCHRAN BAY ENTRANCE,486033
COCHRAN BAY PAULSON COVE,486033
COCHRAN BAY PWS,486033
"COCHRAN BAY, EAST SIDE",486033
"COCHRAN BAY, PWS",486033
"COCHRAN BAY, SOUTH OF SUPRISE LAGOON",486033
"COCHRAN BAY, SURPRISE COVE",486033
"COCHRAN BAY, WHITTIER",486033
"COCHRAN BAY, WITTIER",486033
COCHRAN BAY/ PASSAGE CANAL,486033
COCHRAN BE,486033
COCHRAN E BAY,486033
COCHRAN NAY,486033
COCHRAN POINT,486033
COCHRAN PT,486033
COCHRAN PT.,486033
COCHRAN W,486033
COCHRANE,486033
COCHRANE ARM,486033
COCHRANE BARY,486033
COCHRANE BAY,486033
COCHRANE BAY (OUT FROM PAU,486033
"COCHRANE BAY - ENTRANCE, NEAR CULROSS",486033
COCHRANE BAY - OUTSIDE 3-FINGERS COVE,486033
COCHRANE BAY 3 FINGER AREA,486033
COCHRANE BAY AT THREE FING,486033
COCHRANE BAY ENTRANCE,486033
"COCHRANE BAY ENTRANCE, NEAR CULROSS",486033
COCHRANE BAY MID BAY,486033
COCHRANE BAY NEAR 3 FINGER COVE,486033
COCHRANE BAY NEAR 3-FINGER COVE,486033
COCHRANE BAY NEAR SURPRISE COVE,486033
COCHRANE BAY OUTSIDE OF TH,486033
COCHRANE BAY OUTSIDE OF THREE FINGER COVE,486033
COCHRANE BAY OUTSIDE THREE FINGER COVE.,486033
COCHRANE BAY SOUTH END,486033
COCHRANE BAY WHITTIER,486033
"COCHRANE BAY, 3 FINGER",486033
"COCHRANE BAY, 3 FINGER AREA",486033
"COCHRANE BAY, KNIGHT PASSA",486033
"COCHRANE BAY, MW SIDE",486033
"COCHRANE BAY, NE",486033
"COCHRANE BAY, NW SIDE",486033
"COCHRANE BAY, PWS",486033
"COCHRANE BAY, SURPRISE COVE",486033
"COCHRANE BAY, THREE FINGER",486033
COCHRANE BAYHUMMERDEEP WATER BAY,486033
COCHRANE BAYL,486033
COCHRANE BAYT,486033
COCHRANE BSY,486033
COCHRANE BY,486033
COCHRANE POINT,486033
COCHRANE PT,486033
COCHRANE SHALLOW COVE,486033
COCHRAN’S BAY,486033
COCHRAN’S BAY WEST SIDE NO,486033
COCHREN BAY,486033
COCHRENE,486033
COCHRENE BAY,486033
COCHRIN BAY,486033
COCHRINE,486033
COCHRINE BAY,486033
"COCHRINE BAY, EAST SIDE",486033
COCHRON BAY,486033
COCHURANE BAY,486033
COCKERANE,486033
COCKERIN BAY,486033
COCKRAINE,486033
COCKRAN,486033
COCKRAN BAY,486033
"COCKRAN BAY, PWS",486033
COCKRANE,486033
COCKRANE BAY,486033
COCKREN,486033
COCKREN BAY,486033
COCKREN PT,486033
COCKRIN,486033
COCKRIN BAY,486033
COCKRINE BAY,486033
COCRAINE BAY,486033
COCRANE,486033
COCRANE BAY,486033
COCRANN BAY,486033
COCRHENE BAY,486033
COCRIN BAY,486033
COCRON BAY,486033
COCURANE BAY,486033
COGHIL,476102
COGHILL,476102
COGHILL ANCHORAGE,476102
COGHILL BAY,476102
COGHILL COLLEGE FIORD,476102
COGHILL EAST OF PACKHAM PT,476102
COGHILL PASS,476102
COGHILL POINT,476102
COGHILL POINT COLLEGE FIORD,476102
COGHILL PORT WELLS,476102
COGHILL RIVER,476102
COGHILL RIVER COLLEGE FIORD,476102
"COGHILL, PWS",476102
"COHCRAIN BAY, NEAR SURPRISE COVE",486033
COHORAN BAY,486033
COHRAN BAY,486033
COHRANE BAY,486033
COLLAGE FIORD,476102
COLLAGE FJORD,476102
COLLEGE,476102
COLLEGE BAY,476102
COLLEGE FHORD,476102
COLLEGE FIJORD,476102
COLLEGE FIORD,476102
COLLEGE FJIORD,476102
COLLEGE FJORD,476102
COLLEGE FJORD IN FRONT OF PIGOT BAY,476102
COLLEGE FJORD MORRAINE,476102
COLLEGE FJORD/ COGHILL,476102
COLLEGE FJORD2,476102
COLLEGE FJORDS,476102
COLLEGE FYORD,476102
COLLEGE FYORDS,476102
COLLEGE MORAINE,486100
COLLEGE NEAR ESTHER,486034
COLLEGE NEAR HOBO BAY,486034
COLLEGE POINT,476102
COLLROS PASSAGE,486033
COLLROSS,486033
COLLROSS PASSAGE,486033
COLLROSS PASSAGE ACROSS FROM GOOSE BAY,486033
COLOMBIA,476035
COLOMBIA  BAY,476035
COLOMBIA BAY,476035
COLOROS,486033
COLOROSE PASSAGE,486033
COLOUMBIA BAY,476035
COLROSE BAY,486033
COLROSE ISLAND,486033
COLROSE PASS,486033
COLROSE PASSAGE,486033
COLROSS,486033
COLROSS BAY,486033
COLROSS IS. WEST,486033
COLROSS PASS,486033
COLROSS PASSAGE,486033
COLRUSS PASSAGE,486033
COLUMBIA,476035
COLUMBIA BAY,476035
COLUMBIA BAY AT SPIT NEAR UNCHARTED HEAD,476035
COLUMBIA BAY EAST,476035
COLUMBIA BAY HEATHER COVE,476035
COLUMBIA BAY NEAR THE MORA,476035
COLUMBIA BAY S. HEATHER IS,476035
COLUMBIA BAY S. HEATHER IS.,476035
COLUMBIA BAY VALDEZ,476035
"COLUMBIA BAY, EAST SIDE",476035
"COLUMBIA BAY, GRANITE BAY",476035
"COLUMBIA BAY, MORAINE",476035
"COLUMBIA BAY, WEST SIDE",476035
COLUMBIA GLACIER,476035
COMFORT BAY,466031
COMFORT COVE,466031
COMFORT COVE PORT GRAVINA,466031
"COMFORT COVE, GRAVINA",466031
CONFLUENCE OF DRIER BAY AN,476005
CONTAINER DOCK PORT VALDEZ,466100
CONTIANER DOCK PORT VALDEZ,466100
COOPER BAY,476005
COOSE BAY,466033
COPPER BAT,476005
COPPER BAY,476005
"COPPER BAY , KNIGHT ISLAND",476005
COPPER BAY KNIGHT ISLAND,476005
"COPPER BAY, KNIGHT ISLAND",476005
"COPPER BAY,, KNIGHT ISLAND",476005
"COPPERY BAY ,, KNIGHT ISLAND",476005
CORDOVA,456032
CORDOVA HARBOR,456032
CORLISS ISLAND NORTH,486033
COSHRAN BAY,486033
COUGHRAN,486033
COUGHRAN BAY,486033
COULROSS,486033
COULROSS PASSAGE,486033
COUROFF,499999
COUTH MEW COVE,476007
COVE ON SE SIDE INGOT ISLA,476032
COW PENS MEARS GLACIER,476102
COWPENS UNAKWIK INLET,476036
CRAFTING ISLAND,476032
CRAFTON,476032
CRAFTON IS,476032
CRAFTON IS.,476032
CRAFTON ISLAND,476032
CROFTON ISLAND,476032
CUCHRANE PWS,486033
CUL ROS PASSAGE,486033
CUL ROSS - SOUTH END,486033
CUL ROSS PASS,486033
CUL ROSS SOUTH END,486033
CULCROSS ISLAND,486033
CULL ROSE PASS,486033
CULL ROSS,486033
CULL ROSS PASS,486033
CULLORSS WEST SIDE,486033
CULLROS PASSAGE,486033
CULLROSE,486033
CULLROSE PASSAGE,486033
CULLROSS,486033
CULLROSS BAY,486033
CULLROSS ISLAND,486033
CULLROSS PAAS,486033
CULLROSS PASS,486033
CULLROSS PASSAGE,486033
"CULLROSS PASSAGE, NEAR GOOSE BAY",486033
CULLROSS PSG,486033
CULOROS ISLAND,486033
CULORSS PASSAGE ENTRANCE,486033
CULRESS,486033
CULRIOSS,486033
CULROOS PASSAGE,486033
CULROS,486033
CULROS OASSAGE,486033
CULROS PASS,486033
CULROS PASSAGE,486033
CULROS2S/APPLEGATE ISLAND,486031
CULROSE,486033
CULROSE BAY,486033
CULROSE CUT,486033
CULROSE ISLAND,486033
CULROSE PASS,486033
CULROSE PASSAGE,486033
CULROSE PASSAGE SOUTH SIDE,486033
"CULROSE PASSAGE, SOUTHWEST SIDE",486033
"CULROSE PASSAGE, WESTSIDE SOUTH",486031
CULROSE PWS,486033
CULROSS,486033
CULROSS  PASSAGE,486033
CULROSS - PICTURESQUE BAY,486031
CULROSS - SOUTH END,486033
CULROSS BAY,486033
CULROSS BAY   ENTIRE SET W,486033
CULROSS BY APPLEGATE,486033
CULROSS BY APPLEGATE ISLAND END,486031
CULROSS CHANNEL,486033
CULROSS COVE,486033
"CULROSS CUT-ACROSS, PWS",486033
CULROSS ENTRANCE,486033
CULROSS ISALND,486033
CULROSS ISLAND,486033
CULROSS ISLAND EAST SIDE,486033
CULROSS NEAR APPLEGATE,486033
CULROSS NORTHEAST SIDE,486033
CULROSS OASSAGE,486033
CULROSS PASAGE,486033
CULROSS PASS,486033
CULROSS PASS OUT OF WHITTIER,486033
CULROSS PASS SE,486033
CULROSS PASS SOUTH,486033
CULROSS PASS SOUTH END,486031
CULROSS PASS TOWARDS APPLEGATE,486031
CULROSS PASS. SOUTH END,486031
CULROSS PASS/ PRINCE WILLIAM SOUND,486033
CULROSS PASSAGA,486033
CULROSS PASSAGE,486033
CULROSS PASSAGE (NORTH END),486033
CULROSS PASSAGE (SOUTH END),486031
CULROSS PASSAGE (SOUTH ENT,486033
CULROSS PASSAGE (SOUTH),486033
CULROSS PASSAGE - NORTH EN,486033
CULROSS PASSAGE - PORT WEL,486033
CULROSS PASSAGE - SE,486033
CULROSS PASSAGE - SOUTH EN,486033
CULROSS PASSAGE - SOUTH END,486031
CULROSS PASSAGE 2,486033
CULROSS PASSAGE A FEW MILES FROM APPLEGATE ISLAND,486031
CULROSS PASSAGE JUST SOUTH,486033
CULROSS PASSAGE NE END,486033
CULROSS PASSAGE NEAR PORT,486033
CULROSS PASSAGE NORTH,486033
CULROSS PASSAGE NORTH END,486033
CULROSS PASSAGE NORTH SIDE,486033
CULROSS PASSAGE SOUTH,486033
CULROSS PASSAGE SOUTH END,486031
CULROSS PASSAGE SOUTH OF G,486033
CULROSS PASSAGE SOUTHWEST,486033
"CULROSS PASSAGE, CULROSS IS.",486033
"CULROSS PASSAGE, HIDDEN BA",486033
"CULROSS PASSAGE, N END",486033
"CULROSS PASSAGE, NEAR APPLEGATE",486031
"CULROSS PASSAGE, PWS",486033
"CULROSS PASSAGE, S/W",486033
"CULROSS PASSAGE, SOUTH OF GOOSE BAY",486033
"CULROSS PASSAGE, SOUTHWEST  SIDE",486031
